"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 29 12:04:07 GMT 2021","Wed Dec 29 12:04:08 GMT 2021","297","All Test Suite","Test name","com.qabot.LargeDOMTest","com.qabot.LargeDOMTest","testValidatePage","Validate the right page",""
"passed","Wed Dec 29 12:04:47 GMT 2021","Wed Dec 29 12:04:50 GMT 2021","3171","All Test Suite","Test name","com.qabot.DynamicControlTest","com.qabot.DynamicControlTest","testEnableText","Enable the text box",""
"passed","Wed Dec 29 12:04:00 GMT 2021","Wed Dec 29 12:04:00 GMT 2021","357","All Test Suite","Test name","com.qabot.DomTest","com.qabot.DomTest","validateColumnHeader","validate column header",""
"passed","Wed Dec 29 12:04:00 GMT 2021","Wed Dec 29 12:04:44 GMT 2021","43762","All Test Suite","Test name","com.qabot.DynamicControlTest","com.qabot.DynamicControlTest","testRemoveCheckbox","Hide the checkbox",""
"passed","Wed Dec 29 12:04:08 GMT 2021","Wed Dec 29 12:04:08 GMT 2021","55","All Test Suite","Test name","com.qabot.LargeDOMTest","com.qabot.LargeDOMTest","testCellText","Validate the text inside the target cell",""
"passed","Wed Dec 29 12:04:01 GMT 2021","Wed Dec 29 12:04:01 GMT 2021","183","All Test Suite","Test name","com.qabot.DynamicLoadingTest","com.qabot.DynamicLoadingTest","testDynamicLoadedPage","validate the page loads correctly",""
"passed","Wed Dec 29 12:04:50 GMT 2021","Wed Dec 29 12:04:53 GMT 2021","3133","All Test Suite","Test name","com.qabot.DynamicControlTest","com.qabot.DynamicControlTest","testDisableText","Disable the text box",""
"passed","Wed Dec 29 12:04:08 GMT 2021","Wed Dec 29 12:04:08 GMT 2021","58","All Test Suite","Test name","com.qabot.LargeDOMTest","com.qabot.LargeDOMTest","testCellText","Validate the text inside the target cell",""
"passed","Wed Dec 29 12:03:56 GMT 2021","Wed Dec 29 12:04:37 GMT 2021","40986","All Test Suite","Test name","com.qabot.AddElementTest","com.qabot.AddElementTest","testAddRemoveElements","Click add element (n) times and then dismiss all 'Delete' buttons",""
"passed","Wed Dec 29 12:03:58 GMT 2021","Wed Dec 29 12:03:59 GMT 2021","305","All Test Suite","Test name","com.qabot.BrokenImageTest","com.qabot.BrokenImageTest","testPageHeader","Find images with broken links",""
"passed","Wed Dec 29 12:04:01 GMT 2021","Wed Dec 29 12:04:07 GMT 2021","5300","All Test Suite","Test name","com.qabot.DynamicLoadingTest","com.qabot.DynamicLoadingTest","testHiddenContent","validate the hidden content shows up with the right text",""
"passed","Wed Dec 29 12:03:56 GMT 2021","Wed Dec 29 12:03:57 GMT 2021","680","All Test Suite","Test name","com.qabot.CheckBoxesTest","com.qabot.CheckBoxesTest","checkTheFirstCheckboxUnselectedAndSecondCheckboxSelected","Click on Checkboxes and check the first one is unchecked and the second one is checked",""
"passed","Wed Dec 29 12:03:58 GMT 2021","Wed Dec 29 12:03:59 GMT 2021","511","All Test Suite","Test name","com.qabot.ContextMenuTest","com.qabot.ContextMenuTest","performRightClickAndAcceptTheAlert","Click context menu  ",""
"passed","Wed Dec 29 12:04:08 GMT 2021","Wed Dec 29 12:04:08 GMT 2021","72","All Test Suite","Test name","com.qabot.LargeDOMTest","com.qabot.LargeDOMTest","testCellText","Validate the text inside the target cell",""
"passed","Wed Dec 29 12:04:00 GMT 2021","Wed Dec 29 12:04:00 GMT 2021","295","All Test Suite","Test name","com.qabot.DomTest","com.qabot.DomTest","validatePage","validate the right page",""
"passed","Wed Dec 29 12:04:09 GMT 2021","Wed Dec 29 12:04:10 GMT 2021","340","All Test Suite","Test name","com.qabot.LoginTest","com.qabot.LoginTest","testLoginFailure","Invalid login",""
"passed","Wed Dec 29 12:03:56 GMT 2021","Wed Dec 29 12:03:57 GMT 2021","688","All Test Suite","Test name","com.qabot.ABTestingTest","com.qabot.ABTestingTest","testABTestingContentAndHeader","Click A/B Testing link and check the Header and Content",""
"passed","Wed Dec 29 12:04:09 GMT 2021","Wed Dec 29 12:04:09 GMT 2021","724","All Test Suite","Test name","com.qabot.LoginTest","com.qabot.LoginTest","testLoginSuccess","Success login",""
"passed","Wed Dec 29 12:04:44 GMT 2021","Wed Dec 29 12:04:47 GMT 2021","3157","All Test Suite","Test name","com.qabot.DynamicControlTest","com.qabot.DynamicControlTest","testAddCheckbox","Show the checkbox",""
"passed","Wed Dec 29 12:03:59 GMT 2021","Wed Dec 29 12:03:59 GMT 2021","178","All Test Suite","Test name","com.qabot.BrokenImageTest","com.qabot.BrokenImageTest","testBrokenImages","Validate number of broken images (2)",""
