"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 26 19:06:35 GMT 2021","Sun Dec 26 19:06:36 GMT 2021","193","All Test Suite","Test name","com.qabot.BrokenImageTest","com.qabot.BrokenImageTest","testPageHeader","Find images with broken links",""
"failed","Sun Dec 26 19:06:33 GMT 2021","Sun Dec 26 19:06:34 GMT 2021","403","All Test Suite","Test name","com.qabot.ABTestingTest","com.qabot.ABTestingTest","testABTestingContentAndHeader","Click A/B Testing link and check the Header and Content",""
"passed","Sun Dec 26 19:06:35 GMT 2021","Sun Dec 26 19:06:36 GMT 2021","491","All Test Suite","Test name","com.qabot.ContextMenuTest","com.qabot.ContextMenuTest","performRightClickAndAcceptTheAlert","Click context menu  ",""
"passed","Sun Dec 26 19:06:37 GMT 2021","Sun Dec 26 19:06:37 GMT 2021","343","All Test Suite","Test name","com.qabot.DomTest","com.qabot.DomTest","validateColumnHeader","validate column header",""
"passed","Sun Dec 26 19:06:36 GMT 2021","Sun Dec 26 19:06:37 GMT 2021","239","All Test Suite","Test name","com.qabot.DomTest","com.qabot.DomTest","validatePage","validate the right page",""
"passed","Sun Dec 26 19:06:33 GMT 2021","Sun Dec 26 19:07:14 GMT 2021","40854","All Test Suite","Test name","com.qabot.AddElementTest","com.qabot.AddElementTest","testAddRemoveElements","Click add element (n) times and then dismiss all 'Delete' buttons",""
"passed","Sun Dec 26 19:06:36 GMT 2021","Sun Dec 26 19:06:36 GMT 2021","133","All Test Suite","Test name","com.qabot.BrokenImageTest","com.qabot.BrokenImageTest","testBrokenImages","Validate number of broken images (2)",""
"passed","Sun Dec 26 19:06:37 GMT 2021","Sun Dec 26 19:06:37 GMT 2021","220","All Test Suite","Test name","com.qabot.DynamicLoadingTest","com.qabot.DynamicLoadingTest","testDynamicLoadedPage","validate the page loads correctly",""
"passed","Sun Dec 26 19:06:37 GMT 2021","Sun Dec 26 19:06:42 GMT 2021","5291","All Test Suite","Test name","com.qabot.DynamicLoadingTest","com.qabot.DynamicLoadingTest","testHiddenContent","validate the hidden content shows up with the right text",""
"passed","Sun Dec 26 19:06:33 GMT 2021","Sun Dec 26 19:06:34 GMT 2021","474","All Test Suite","Test name","com.qabot.CheckBoxesTest","com.qabot.CheckBoxesTest","checkTheFirstCheckboxUnselectedAndSecondCheckboxSelected","Click on Checkboxes and check the first one is unchecked and the second one is checked",""
