"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 29 18:44:26 GMT 2021","Wed Dec 29 18:45:07 GMT 2021","41185","All Test Suite","Test name","com.qabot.AddElementTest","com.qabot.AddElementTest","testAddRemoveElements","Click add element (n) times and then dismiss all 'Delete' buttons",""
"passed","Wed Dec 29 18:44:30 GMT 2021","Wed Dec 29 18:44:31 GMT 2021","358","All Test Suite","Test name","com.qabot.DomTest","com.qabot.DomTest","validateColumnHeader","validate column header",""
"passed","Wed Dec 29 18:44:26 GMT 2021","Wed Dec 29 18:44:27 GMT 2021","652","All Test Suite","Test name","com.qabot.ABTestingTest","com.qabot.ABTestingTest","testABTestingContentAndHeader","Click A/B Testing link and check the Header and Content",""
"passed","Wed Dec 29 18:44:28 GMT 2021","Wed Dec 29 18:44:29 GMT 2021","272","All Test Suite","Test name","com.qabot.BrokenImageTest","com.qabot.BrokenImageTest","testPageHeader","Find images with broken links",""
"passed","Wed Dec 29 18:44:26 GMT 2021","Wed Dec 29 18:44:27 GMT 2021","670","All Test Suite","Test name","com.qabot.CheckBoxesTest","com.qabot.CheckBoxesTest","checkTheFirstCheckboxUnselectedAndSecondCheckboxSelected","Click on Checkboxes and check the first one is unchecked and the second one is checked",""
"passed","Wed Dec 29 18:44:30 GMT 2021","Wed Dec 29 18:44:36 GMT 2021","5371","All Test Suite","Test name","com.qabot.DynamicLoadingTest","com.qabot.DynamicLoadingTest","testHiddenContent","validate the hidden content shows up with the right text",""
"passed","Wed Dec 29 18:44:29 GMT 2021","Wed Dec 29 18:44:29 GMT 2021","117","All Test Suite","Test name","com.qabot.BrokenImageTest","com.qabot.BrokenImageTest","testBrokenImages","Validate number of broken images (2)",""
"passed","Wed Dec 29 18:44:28 GMT 2021","Wed Dec 29 18:44:29 GMT 2021","466","All Test Suite","Test name","com.qabot.ContextMenuTest","com.qabot.ContextMenuTest","performRightClickAndAcceptTheAlert","Click context menu and perform the right click and accept the alert",""
"passed","Wed Dec 29 18:44:30 GMT 2021","Wed Dec 29 18:44:30 GMT 2021","231","All Test Suite","Test name","com.qabot.DynamicLoadingTest","com.qabot.DynamicLoadingTest","testDynamicLoadedPage","validate the page loads correctly",""
"passed","Wed Dec 29 18:44:30 GMT 2021","Wed Dec 29 18:44:30 GMT 2021","313","All Test Suite","Test name","com.qabot.DomTest","com.qabot.DomTest","validatePage","validate the right page",""
