"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jan 01 17:05:17 GMT 2022","Sat Jan 01 17:05:18 GMT 2022","1146","All Test Suite","Test name","com.qabot.DynamicLoadingTest","com.qabot.DynamicLoadingTest","testDynamicLoadedPage","validate the page loads correctly",""
"passed","Sat Jan 01 17:05:17 GMT 2022","Sat Jan 01 17:05:59 GMT 2022","42578","All Test Suite","Test name","com.qabot.AddElementTest","com.qabot.AddElementTest","testAddRemoveElements","Click add element (n) times and then dismiss all 'Delete' buttons",""
"passed","Sat Jan 01 17:05:22 GMT 2022","Sat Jan 01 17:05:22 GMT 2022","112","All Test Suite","Test name","com.qabot.FileUploadTest","com.qabot.FileUploadTest","checkTheFileUploadSuccess","Check if the file uploaded successfully",""
"passed","Sat Jan 01 17:05:17 GMT 2022","Sat Jan 01 17:05:18 GMT 2022","1114","All Test Suite","Test name","com.qabot.BrokenImageTest","com.qabot.BrokenImageTest","testPageHeader","Find images with broken links",""
"passed","Sat Jan 01 17:05:21 GMT 2022","Sat Jan 01 17:05:22 GMT 2022","842","All Test Suite","Test name","com.qabot.FileUploadTest","com.qabot.FileUploadTest","checkFileUpload","Upload file and check if the file uploaded successfully",""
"failed","Sat Jan 01 17:05:17 GMT 2022","Sat Jan 01 17:05:19 GMT 2022","2188","All Test Suite","Test name","com.qabot.ABTestingTest","com.qabot.ABTestingTest","testABTestingContentAndHeader","Click A/B Testing link and check the Header and Content",""
"passed","Sat Jan 01 17:05:18 GMT 2022","Sat Jan 01 17:05:18 GMT 2022","518","All Test Suite","Test name","com.qabot.BrokenImageTest","com.qabot.BrokenImageTest","testBrokenImages","Validate number of broken images (2)",""
"passed","Sat Jan 01 17:05:21 GMT 2022","Sat Jan 01 17:05:22 GMT 2022","1028","All Test Suite","Test name","com.qabot.EntryAdTest","com.qabot.EntryAdTest","checkThePopupAppearance","Check the popup header and body text",""
"passed","Sat Jan 01 17:05:18 GMT 2022","Sat Jan 01 17:05:24 GMT 2022","6154","All Test Suite","Test name","com.qabot.DynamicLoadingTest","com.qabot.DynamicLoadingTest","testHiddenContent","validate the hidden content shows up with the right text",""
"passed","Sat Jan 01 17:05:17 GMT 2022","Sat Jan 01 17:05:18 GMT 2022","1550","All Test Suite","Test name","com.qabot.ContextMenuTest","com.qabot.ContextMenuTest","performRightClickAndAcceptTheAlert","Click context menu and perform the right click and accept the alert",""
"passed","Sat Jan 01 17:05:17 GMT 2022","Sat Jan 01 17:05:18 GMT 2022","1199","All Test Suite","Test name","com.qabot.DomTest","com.qabot.DomTest","validatePage","validate the right page",""
"passed","Sat Jan 01 17:05:17 GMT 2022","Sat Jan 01 17:05:18 GMT 2022","1351","All Test Suite","Test name","com.qabot.CheckBoxesTest","com.qabot.CheckBoxesTest","checkTheFirstCheckboxUnselectedAndSecondCheckboxSelected","Click on Checkboxes and check the first one is unchecked and the second one is checked",""
"passed","Sat Jan 01 17:05:18 GMT 2022","Sat Jan 01 17:05:19 GMT 2022","1271","All Test Suite","Test name","com.qabot.DomTest","com.qabot.DomTest","validateColumnHeader","validate column header",""
"passed","Sat Jan 01 17:05:22 GMT 2022","Sat Jan 01 17:05:22 GMT 2022","80","All Test Suite","Test name","com.qabot.EntryAdTest","com.qabot.EntryAdTest","closeThePopup","Close the popup after verifying the header and body",""
