"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 06 11:21:48 GMT 2022","Thu Jan 06 11:21:49 GMT 2022","427","All Test Suite","Test name","com.qabot.BrokenImageTest","com.qabot.BrokenImageTest","testBrokenImages","Validate number of broken images (2)",""
"passed","Thu Jan 06 11:21:56 GMT 2022","Thu Jan 06 11:21:57 GMT 2022","1103","All Test Suite","Test name","com.qabot.SliderTest","com.qabot.SliderTest","testSlide","Move the slider to a value",""
"passed","Thu Jan 06 11:21:53 GMT 2022","Thu Jan 06 11:21:56 GMT 2022","3465","All Test Suite","Test name","com.qabot.FrameTest","com.qabot.FrameTest","testSubPage","Test Frame sub page",""
"passed","Thu Jan 06 11:21:55 GMT 2022","Thu Jan 06 11:21:55 GMT 2022","173","All Test Suite","Test name","com.qabot.LargeDOMTest","com.qabot.LargeDOMTest","testCellText","Validate the text inside the target cell",""
"passed","Thu Jan 06 11:21:55 GMT 2022","Thu Jan 06 11:21:55 GMT 2022","162","All Test Suite","Test name","com.qabot.LargeDOMTest","com.qabot.LargeDOMTest","testCellText","Validate the text inside the target cell",""
"passed","Thu Jan 06 11:21:47 GMT 2022","Thu Jan 06 11:21:49 GMT 2022","1432","All Test Suite","Test name","com.qabot.ContextMenuTest","com.qabot.ContextMenuTest","performRightClickAndAcceptTheAlert","Click context menu and perform the right click and accept the alert",""
"passed","Thu Jan 06 11:21:52 GMT 2022","Thu Jan 06 11:22:36 GMT 2022","44458","All Test Suite","Test name","com.qabot.DynamicControlTest","com.qabot.DynamicControlTest","testRemoveCheckbox","Hide the checkbox",""
"passed","Thu Jan 06 11:21:52 GMT 2022","Thu Jan 06 11:21:54 GMT 2022","1644","All Test Suite","Test name","com.qabot.LargeDOMTest","com.qabot.LargeDOMTest","testValidatePage","Validate the right page",""
"passed","Thu Jan 06 11:21:47 GMT 2022","Thu Jan 06 11:22:30 GMT 2022","42237","All Test Suite","Test name","com.qabot.AddElementTest","com.qabot.AddElementTest","testAddRemoveElements","Click add element (n) times and then dismiss all 'Delete' buttons",""
"passed","Thu Jan 06 11:21:57 GMT 2022","Thu Jan 06 11:21:58 GMT 2022","434","All Test Suite","Test name","com.qabot.LoginTest","com.qabot.LoginTest","testLoginFailure","Invalid login",""
"passed","Thu Jan 06 11:21:56 GMT 2022","Thu Jan 06 11:21:57 GMT 2022","1589","All Test Suite","Test name","com.qabot.LoginTest","com.qabot.LoginTest","testLoginSuccess","Success login",""
"passed","Thu Jan 06 11:21:47 GMT 2022","Thu Jan 06 11:21:48 GMT 2022","1058","All Test Suite","Test name","com.qabot.DomTest","com.qabot.DomTest","validatePage","validate the right page",""
"passed","Thu Jan 06 11:21:53 GMT 2022","Thu Jan 06 11:21:54 GMT 2022","226","All Test Suite","Test name","com.qabot.EntryAdTest","com.qabot.EntryAdTest","closeThePopup","Close the popup after verifying the header and body",""
