"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 06 12:43:53 GMT 2022","Thu Jan 06 12:43:53 GMT 2022","130","All Test Suite","Test name","com.qabot.LargeDOMTest","com.qabot.LargeDOMTest","testCellText","Validate the text inside the target cell",""
"passed","Thu Jan 06 12:43:48 GMT 2022","Thu Jan 06 12:44:30 GMT 2022","41913","All Test Suite","Test name","com.qabot.AddElementTest","com.qabot.AddElementTest","testAddRemoveElements","Click add element (n) times and then dismiss all 'Delete' buttons",""
"passed","Thu Jan 06 12:43:49 GMT 2022","Thu Jan 06 12:43:49 GMT 2022","556","All Test Suite","Test name","com.qabot.BrokenImageTest","com.qabot.BrokenImageTest","testBrokenImages","Validate number of broken images (2)",""
"passed","Thu Jan 06 12:43:52 GMT 2022","Thu Jan 06 12:43:53 GMT 2022","1001","All Test Suite","Test name","com.qabot.LargeDOMTest","com.qabot.LargeDOMTest","testValidatePage","Validate the right page",""
"passed","Thu Jan 06 12:43:54 GMT 2022","Thu Jan 06 12:43:54 GMT 2022","428","All Test Suite","Test name","com.qabot.LoginTest","com.qabot.LoginTest","testLoginFailure","Invalid login",""
"passed","Thu Jan 06 12:43:53 GMT 2022","Thu Jan 06 12:43:53 GMT 2022","209","All Test Suite","Test name","com.qabot.EntryAdTest","com.qabot.EntryAdTest","closeThePopup","Close the popup after verifying the header and body",""
"passed","Thu Jan 06 12:44:32 GMT 2022","Thu Jan 06 12:44:36 GMT 2022","3122","All Test Suite","Test name","com.qabot.DynamicControlTest","com.qabot.DynamicControlTest","testAddCheckbox","Show the checkbox",""
"passed","Thu Jan 06 12:43:52 GMT 2022","Thu Jan 06 12:43:52 GMT 2022","565","All Test Suite","Test name","com.qabot.DynamicLoadingTest","com.qabot.DynamicLoadingTest","testDynamicLoadedPage","validate the page loads correctly",""
"passed","Thu Jan 06 12:43:52 GMT 2022","Thu Jan 06 12:43:54 GMT 2022","1873","All Test Suite","Test name","com.qabot.LoginTest","com.qabot.LoginTest","testLoginSuccess","Success login",""
"passed","Thu Jan 06 12:43:52 GMT 2022","Thu Jan 06 12:43:53 GMT 2022","1184","All Test Suite","Test name","com.qabot.EntryAdTest","com.qabot.EntryAdTest","checkThePopupAppearance","Check the popup header and body text",""
"passed","Thu Jan 06 12:43:52 GMT 2022","Thu Jan 06 12:43:58 GMT 2022","5782","All Test Suite","Test name","com.qabot.DynamicLoadingTest","com.qabot.DynamicLoadingTest","testHiddenContent","validate the hidden content shows up with the right text",""
"passed","Thu Jan 06 12:43:53 GMT 2022","Thu Jan 06 12:43:53 GMT 2022","61","All Test Suite","Test name","com.qabot.LargeDOMTest","com.qabot.LargeDOMTest","testCellText","Validate the text inside the target cell",""
"passed","Thu Jan 06 12:43:48 GMT 2022","Thu Jan 06 12:43:49 GMT 2022","1071","All Test Suite","Test name","com.qabot.ContextMenuTest","com.qabot.ContextMenuTest","performRightClickAndAcceptTheAlert","Click context menu and perform the right click and accept the alert",""
"passed","Thu Jan 06 12:43:48 GMT 2022","Thu Jan 06 12:43:49 GMT 2022","1147","All Test Suite","Test name","com.qabot.ABTestingTest","com.qabot.ABTestingTest","testABTestingContentAndHeader","Click A/B Testing link and check the Header and Content",""
"passed","Thu Jan 06 12:43:53 GMT 2022","Thu Jan 06 12:43:53 GMT 2022","117","All Test Suite","Test name","com.qabot.FileUploadTest","com.qabot.FileUploadTest","checkTheFileUploadSuccess","Check if the file uploaded successfully",""
"passed","Thu Jan 06 12:43:52 GMT 2022","Thu Jan 06 12:43:53 GMT 2022","1417","All Test Suite","Test name","com.qabot.FileUploadTest","com.qabot.FileUploadTest","checkFileUpload","Upload file and check if the file uploaded successfully",""
"passed","Thu Jan 06 12:43:48 GMT 2022","Thu Jan 06 12:43:49 GMT 2022","924","All Test Suite","Test name","com.qabot.CheckBoxesTest","com.qabot.CheckBoxesTest","checkTheFirstCheckboxUnselectedAndSecondCheckboxSelected","Click on Checkboxes and check the first one is unchecked and the second one is checked",""
"passed","Thu Jan 06 12:43:53 GMT 2022","Thu Jan 06 12:43:54 GMT 2022","64","All Test Suite","Test name","com.qabot.LargeDOMTest","com.qabot.LargeDOMTest","testCellText","Validate the text inside the target cell",""
"passed","Thu Jan 06 12:43:48 GMT 2022","Thu Jan 06 12:43:49 GMT 2022","794","All Test Suite","Test name","com.qabot.BrokenImageTest","com.qabot.BrokenImageTest","testPageHeader","Find images with broken links",""
"passed","Thu Jan 06 12:43:48 GMT 2022","Thu Jan 06 12:44:32 GMT 2022","44497","All Test Suite","Test name","com.qabot.DynamicControlTest","com.qabot.DynamicControlTest","testRemoveCheckbox","Hide the checkbox",""
"passed","Thu Jan 06 12:44:39 GMT 2022","Thu Jan 06 12:44:42 GMT 2022","3108","All Test Suite","Test name","com.qabot.DynamicControlTest","com.qabot.DynamicControlTest","testDisableText","Disable the text box",""
"passed","Thu Jan 06 12:43:49 GMT 2022","Thu Jan 06 12:43:50 GMT 2022","1023","All Test Suite","Test name","com.qabot.DomTest","com.qabot.DomTest","validateColumnHeader","validate column header",""
"passed","Thu Jan 06 12:44:36 GMT 2022","Thu Jan 06 12:44:39 GMT 2022","3141","All Test Suite","Test name","com.qabot.DynamicControlTest","com.qabot.DynamicControlTest","testEnableText","Enable the text box",""
"passed","Thu Jan 06 12:43:48 GMT 2022","Thu Jan 06 12:43:49 GMT 2022","937","All Test Suite","Test name","com.qabot.DomTest","com.qabot.DomTest","validatePage","validate the right page",""
