"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jan 01 16:39:50 GMT 2022","Sat Jan 01 16:39:50 GMT 2022","51","All Test Suite","Test name","com.qabot.EntryAdTest","com.qabot.EntryAdTest","closeThePopup","Close the popup after verifying the header and body",""
"passed","Sat Jan 01 16:39:46 GMT 2022","Sat Jan 01 16:40:28 GMT 2022","41749","All Test Suite","Test name","com.qabot.AddElementTest","com.qabot.AddElementTest","testAddRemoveElements","Click add element (n) times and then dismiss all 'Delete' buttons",""
"broken","Sat Jan 01 16:39:49 GMT 2022","Sat Jan 01 16:40:30 GMT 2022","40105","All Test Suite","Test name","com.qabot.FileUploadTest","com.qabot.FileUploadTest","checkTheFileUploadSuccess","Check if the file uploaded successfully",""
"broken","Sat Jan 01 16:39:49 GMT 2022","Sat Jan 01 16:39:49 GMT 2022","609","All Test Suite","Test name","com.qabot.FileUploadTest","com.qabot.FileUploadTest","checkFileUpload","Upload file and check if the file uploaded successfully",""
"passed","Sat Jan 01 16:39:46 GMT 2022","Sat Jan 01 16:39:47 GMT 2022","790","All Test Suite","Test name","com.qabot.DomTest","com.qabot.DomTest","validatePage","validate the right page",""
"passed","Sat Jan 01 16:39:47 GMT 2022","Sat Jan 01 16:39:53 GMT 2022","5700","All Test Suite","Test name","com.qabot.DynamicLoadingTest","com.qabot.DynamicLoadingTest","testHiddenContent","validate the hidden content shows up with the right text",""
"passed","Sat Jan 01 16:39:46 GMT 2022","Sat Jan 01 16:39:47 GMT 2022","853","All Test Suite","Test name","com.qabot.CheckBoxesTest","com.qabot.CheckBoxesTest","checkTheFirstCheckboxUnselectedAndSecondCheckboxSelected","Click on Checkboxes and check the first one is unchecked and the second one is checked",""
"passed","Sat Jan 01 16:39:47 GMT 2022","Sat Jan 01 16:39:47 GMT 2022","434","All Test Suite","Test name","com.qabot.BrokenImageTest","com.qabot.BrokenImageTest","testBrokenImages","Validate number of broken images (2)",""
"passed","Sat Jan 01 16:39:46 GMT 2022","Sat Jan 01 16:39:47 GMT 2022","1077","All Test Suite","Test name","com.qabot.ContextMenuTest","com.qabot.ContextMenuTest","performRightClickAndAcceptTheAlert","Click context menu and perform the right click and accept the alert",""
"passed","Sat Jan 01 16:39:46 GMT 2022","Sat Jan 01 16:39:47 GMT 2022","740","All Test Suite","Test name","com.qabot.BrokenImageTest","com.qabot.BrokenImageTest","testPageHeader","Find images with broken links",""
"passed","Sat Jan 01 16:39:47 GMT 2022","Sat Jan 01 16:39:48 GMT 2022","910","All Test Suite","Test name","com.qabot.DomTest","com.qabot.DomTest","validateColumnHeader","validate column header",""
"passed","Sat Jan 01 16:39:46 GMT 2022","Sat Jan 01 16:39:47 GMT 2022","717","All Test Suite","Test name","com.qabot.DynamicLoadingTest","com.qabot.DynamicLoadingTest","testDynamicLoadedPage","validate the page loads correctly",""
"passed","Sat Jan 01 16:39:49 GMT 2022","Sat Jan 01 16:39:50 GMT 2022","827","All Test Suite","Test name","com.qabot.EntryAdTest","com.qabot.EntryAdTest","checkThePopupAppearance","Check the popup header and body text",""
"failed","Sat Jan 01 16:39:46 GMT 2022","Sat Jan 01 16:39:47 GMT 2022","745","All Test Suite","Test name","com.qabot.ABTestingTest","com.qabot.ABTestingTest","testABTestingContentAndHeader","Click A/B Testing link and check the Header and Content",""
